# Lines starting with #' are comments. Comment lines must form a continuous 
# block at the beginning of this file. 
# The last comment line is not really a comment. It must contain the names of 
# the variables that are used in the code. 
# The data has to start in the following line.        
# 
# List of variables: 
# TS: timestep 
# OHair1: OH-readical conc. based factor to multiply with avg. degradation rate in upper air 
# OHair2: OH-readical conc. based factor to multiply with avg. degradation rate in lower air 
# Based on data from: 
# Spivakovsky, C. M., Logan J. A., Montzka S. A., Balkanski Y. J., Foreman-Fowler M., 
# Jones D. B. A., Horowitz L.W., Fusco A. C., Brenninkmeijer C. A. M., Prather M. J., 
# Wofsy S. C., McElroy M. B., 2000, Three-dimensional climatological distribution of 
# tropospheric OH: Update and evaluation. Journal of geophysical research, Vol. 105, 
# No. D7, pp 8931-8980. 
# 
# precip: monthly average precipitation [m/h] 
# stwet: average length of rain events [h] 
# stdry: average length of dry spells [h] 
# tair1: temperature upper air [K] 
# tair2: temperature lower air [K] 
# tocean: temperature ocean surface [K] 
# tland: temperature land surface [K] 
# h1: Average upper air compartment height [m] 
# h2: Average lower air compartment height [m] 
# h5: Average ocean compartment depth [m] 
# runoffwater: water runoff 
# tspe: time since plowing event [month] 
# perc8: percentage of ocean covered by Sea Ice [-] 
# 
#CELL TS OHair1 OHair2 precip stwet stdry tair1 tair2 tocean tland h1 h2 h5 mixing12 mixing21 runoff6water tspe perc8 
50 1 0.141312463108205 0.0957475850304771 0.000153538161466713 140.854870796204 10.3810259699821 248.252262115479 270.548622131348 276.613677978516 260.154626464844 5227.51127929687 1176.30113525391 136.030229568481 4.452202333 5.687015466 1.81455792547247e-06 2190 0.0358441152274609
50 2 0.212397223710076 0.168636864302333 0.000134908350628393 107.168722915649 10.6778864264488 247.863539886475 269.399853515625 276.128630065918 257.626429748535 5218.91694335938 1171.18085327148 155.244403839111 4.686041608 4.263978327 1.49642274012152e-06 2920 0.0523459343910217
50 3 0.327888038860458 0.30153014717756 0.0001261129753766 80.7786280632019 9.10218958854675 248.63310546875 270.640672302246 275.900849914551 263.374946594238 5232.99794921875 1176.64390258789 155.290757751465 4.200112604 4.172148898 2.21692169475318e-06 3650 0.0548181110620499
50 4 0.590331907155831 0.585379587857551 0.000129685755382525 58.4405835151672 11.9497318744659 249.665207672119 271.67212677002 276.187350463867 269.936009216309 5255.58647460937 1181.17631225586 122.702825927734 3.58744405 5.119553919 5.88337504723313e-06 4380 0.0371691130772233
50 5 1.14472582855609 1.09894059710306 0.000124520620702242 43.9950941085815 11.6286129236221 252.683215332031 274.401786804199 277.300340270996 276.199069213867 5314.52421875 1193.76292114258 67.5462442398071 2.958300639 6.311259831 3.02761918078431e-06 5110 0.00966926712980785
50 6 1.68356230094767 1.42074661727303 0.000126226868742378 49.0101729393005 9.83418236970902 256.446768188477 277.531251525879 279.1638671875 279.836148071289 5387.36120605469 1208.34313964844 39.9768424987793 2.797856657 5.639330627 8.55738254301741e-07 5840 0.000549719961447408
50 7 1.97337021414587 1.42693993224264 0.000107814704824705 33.81989402771 9.09119079113007 259.285299682617 280.215760803223 281.053503417969 281.357524108887 5440.12592773438 1221.0578918457 28.559833240509 2.603657047 4.323663682 9.51479556476897e-07 6570 0
50 8 1.56837391056912 1.06888626133864 0.000123037665580341 55.1920670509338 12.9527290582657 258.746307373047 279.887284851074 282.397230529785 280.147174072266 5430.57412109375 1219.14123535156 28.7364734649658 2.813832501 4.276187159 1.11165914233879e-06 7300 0
50 9 0.828812832208554 0.593011116003027 0.000162201932980679 83.7228238105774 9.4443007349968 255.130895233154 277.203698730469 282.046871948242 277.070356750488 5365.90734863281 1206.29973144531 35.1056492805481 3.199112571 5.368000524 1.75322798412481e-06 8030 0
50 10 0.373482907358897 0.266949604872813 0.000175084947622963 72.5923524856567 8.92682137489319 252.168836212158 274.444677734375 280.609994506836 271.073756408691 5307.64174804688 1193.53894042969 59.1268510818481 2.576624302 4.43551787 1.97888509632094e-06 8760 0
50 11 0.192705380576485 0.116946559662343 0.000189721956048743 112.040548324585 7.91759976148605 249.771973419189 272.128671264648 278.833200073242 265.033294677734 5258.91391601562 1183.16198120117 93.4801734924316 3.257508767 4.614578799 2.52073584903201e-06 730 0.00186927136348095
50 12 0.135144722758385 0.0863058316513799 0.000181677022083022 192.231644630432 9.16319614648819 247.633839416504 270.245307922363 277.494947814941 259.957944488525 5219.64194335937 1174.78622436523 120.558738708496 3.905697652 4.842912169 1.67091393512564e-06 1460 0.0169063183171675
51 1 0.151938519665942 0.111272721015609 0.000168152567566722 176.178769874573 15.4305684566498 249.127159118652 271.90910949707 278.1109375 258.850063323975 5239.78647460937 1182.21056518555 141.698497772217 3.556995365 8.235001563 9.38501569436312e-07 2190 0.000699734936933964
51 2 0.224359895691814 0.20218606955757 0.000136633289330348 186.245994472504 19.0611143112183 248.376248931885 271.187062072754 277.549578857422 259.364418792725 5225.0599609375 1178.89133911133 162.599604797363 3.449035391 6.896865701 8.32294838915004e-07 2920 0.00132152187125757
